Latitude: 32.2299  Longitude: -110.9403
X & Y on Lambert Conformal Conic: -998128.12 -1028390.35
Tile: 11015
Elevation: 748 meters
All years; all variables; Daymet Software Version 3.0; Daymet Data Version 3.0.
How to cite: Thornton; P.E.; M.M. Thornton; B.W. Mayer; Y. Wei; R. Devarakonda; R.S. Vose; and R.B. Cook. 2016. Daymet: Daily Surface Weather Data on a 1-km Grid for North America; Version 3. ORNL DAAC; Oak Ridge; Tennessee; USA. http://dx.doi.org/10.3334/ORNLDAAC/1328

year,yday,dayl (s),prcp (mm/day),srad (W/m^2),swe (kg/m^2),tmax (deg c),tmin (deg c),vp (Pa)
1986,1,35597,0.00,281.60,0.00,21.50,3.50,680.00
1986,2,35942,0.00,284.80,0.00,21.50,3.00,680.00
1986,3,35942,0.00,272.00,0.00,21.00,4.00,720.00
1986,4,35942,0.00,284.80,0.00,20.50,2.50,640.00
1986,5,35942,0.00,262.40,0.00,20.00,4.00,760.00
1986,6,35942,0.00,275.20,0.00,19.00,2.00,640.00
1986,7,35942,0.00,259.20,0.00,18.00,2.50,680.00
1986,8,35942,0.00,217.60,0.00,17.50,5.00,880.00
1986,9,35942,0.00,284.80,0.00,19.50,2.00,600.00
1986,10,35942,0.00,320.00,0.00,22.50,1.00,520.00
1986,11,36288,0.00,278.40,0.00,24.00,7.00,800.00
1986,12,36288,0.00,310.40,0.00,25.00,5.00,640.00
1986,13,36288,0.00,272.00,0.00,25.00,8.50,880.00
1986,14,36288,0.00,256.00,0.00,22.50,7.50,880.00
1986,15,36288,0.00,230.40,0.00,21.00,8.00,960.00
1986,16,36288,0.00,294.40,0.00,21.00,3.50,600.00
1986,17,36634,0.00,310.40,0.00,21.50,2.50,560.00
1986,18,36634,0.00,329.60,0.00,24.00,3.00,520.00
1986,19,36634,0.00,313.60,0.00,27.00,7.50,720.00
1986,20,36634,0.00,339.20,0.00,27.50,5.50,600.00
1986,21,36634,0.00,345.60,0.00,26.50,4.00,560.00
1986,22,36979,0.00,345.60,0.00,27.00,4.50,560.00
1986,23,36979,0.00,348.80,0.00,27.00,4.50,560.00
1986,24,36979,0.00,345.60,0.00,25.00,3.50,520.00
1986,25,36979,0.00,355.20,0.00,24.00,1.50,440.00
1986,26,37325,0.00,352.00,0.00,26.00,4.00,520.00
1986,27,37325,0.00,332.80,0.00,27.50,7.50,680.00
1986,28,37325,0.00,364.80,0.00,27.50,4.50,520.00
1986,29,37325,0.00,368.00,0.00,28.00,4.50,520.00
1986,30,37670,0.00,342.40,0.00,26.00,6.00,640.00
1986,31,37670,10.00,192.00,0.00,24.00,10.50,1160.00
1986,32,37670,14.00,163.20,0.00,21.50,10.50,1280.00
1986,33,37670,13.00,195.20,0.00,20.00,7.00,1000.00
1986,34,38016,0.00,288.00,0.00,20.00,5.50,840.00
1986,35,38016,2.00,233.60,0.00,17.00,6.00,920.00
1986,36,38016,0.00,291.20,0.00,15.50,1.50,680.00
1986,37,38016,0.00,300.80,0.00,17.50,3.00,720.00
1986,38,38362,5.00,240.00,0.00,15.00,-0.50,600.00
1986,39,38362,6.00,169.60,0.00,13.00,3.00,760.00
1986,40,38362,8.00,134.40,0.00,11.50,4.00,800.00
1986,41,38707,0.00,288.00,0.00,11.50,-1.00,560.00
1986,42,38707,0.00,352.00,0.00,15.00,-1.50,520.00
1986,43,38707,0.00,348.80,0.00,19.00,2.50,680.00
1986,44,38707,0.00,361.60,0.00,21.50,4.00,760.00
1986,45,39053,0.00,371.20,0.00,24.00,5.50,800.00
1986,46,39053,0.00,259.20,0.00,23.00,11.50,1360.00
1986,47,39053,0.00,204.80,0.00,20.00,11.50,1360.00
1986,48,39398,0.00,348.80,0.00,21.50,6.00,880.00
1986,49,39398,0.00,371.20,0.00,24.50,7.50,920.00
1986,50,39398,0.00,384.00,0.00,26.50,8.50,960.00
1986,51,39744,0.00,355.20,0.00,25.00,9.50,1040.00
1986,52,39744,0.00,390.40,0.00,21.00,4.00,720.00
1986,53,39744,0.00,428.80,0.00,22.50,2.50,600.00
1986,54,40090,0.00,441.60,0.00,25.00,3.50,640.00
1986,55,40090,0.00,448.00,0.00,28.50,6.00,720.00
1986,56,40090,0.00,454.40,0.00,31.00,7.50,760.00
1986,57,40435,0.00,451.20,0.00,31.00,8.00,800.00
1986,58,40435,0.00,448.00,0.00,31.50,9.00,840.00
1986,59,40435,0.00,412.80,0.00,30.50,12.00,1120.00
1986,60,40781,0.00,387.20,0.00,30.00,13.50,1280.00
1986,61,40781,0.00,393.60,0.00,28.00,11.50,1120.00
1986,62,40781,0.00,403.20,0.00,27.50,10.50,1040.00
1986,63,41126,0.00,361.60,0.00,27.50,13.00,1280.00
1986,64,41126,0.00,435.20,0.00,28.00,9.00,880.00
