Year,Month,Day,T_max,T_min,Precip (mm),T_ave,Precip (cm),rh_ave
1980,1,2,20.5,0.5,0.0,10.5,0.0,19.0834888575
1980,1,3,20.0,-0.5,0.0,9.75,0.0,16.7146799227
1980,1,11,15.5,9.5,3.0,12.5,0.3,78.0840803218
1980,1,12,20.0,7.5,0.0,13.75,0.0,33.4243929537
1980,1,13,22.5,6.5,0.0,14.5,0.0,24.4960959509
1980,1,14,23.5,7.5,0.0,15.5,0.0,22.9739588101
1980,1,15,20.0,7.0,3.0,13.5,0.3,39.1961726834
1980,1,16,19.5,4.0,0.0,11.75,0.0,20.5032061949
1980,1,17,20.5,3.0,0.0,11.75,0.0,20.5032061949
1980,1,18,19.5,8.5,3.0,14.0,0.3,40.47810596
1980,1,19,16.5,6.0,4.0,11.25,0.4,48.4305131704
1980,1,20,14.5,1.5,1.0,8.0,0.1,33.8274813507
1980,1,21,12.5,5.0,8.0,8.75,0.8,71.4769198697
1980,1,22,12.5,3.0,0.0,7.75,0.0,57.3378641198
1980,1,23,16.0,2.0,0.0,9.0,0.0,38.6595939624
1980,1,24,18.5,-1.0,0.0,8.75,0.0,25.0169219544
1980,1,25,19.5,-1.0,0.0,9.25,0.0,24.1938115539
1980,1,26,20.5,1.5,0.0,11.0,0.0,27.694792883
1980,1,27,21.0,4.5,0.0,12.75,0.0,30.1797472984
1980,1,28,18.0,7.0,0.0,12.5,0.0,47.4081916239
1980,1,29,18.5,7.5,2.0,13.0,0.2,48.5876892214
1980,1,30,20.0,11.0,2.0,15.5,0.2,57.4348970253
1980,4,10,30.5,8.5,0.0,19.5,0.0,41.060530549
1980,4,11,28.0,9.0,0.0,18.5,0.0,45.6048370869
1980,4,12,22.0,6.5,0.0,14.25,0.0,54.766517331
1980,4,13,21.0,8.5,0.0,14.75,0.0,65.0844478899
1980,4,14,26.0,3.5,0.0,14.75,0.0,38.5685617125
1980,4,15,30.5,5.5,0.0,18.0,0.0,33.3326555464
1980,4,16,32.0,9.0,0.0,20.5,0.0,36.9148529741
1980,4,17,33.5,9.5,0.0,21.5,0.0,34.7108853516
1980,4,18,34.5,15.0,0.0,24.75,0.0,44.0424992128
1980,4,19,36.0,16.0,0.0,26.0,0.0,42.0740746028
1980,4,20,35.0,17.0,4.0,26.0,0.4,54.0952387751
1980,4,21,32.5,17.0,0.0,24.75,0.0,51.8147049562
1980,4,22,29.0,12.5,0.0,20.75,0.0,49.5677024174
1980,4,23,21.5,4.5,0.0,13.0,0.0,48.5876892214
1980,4,24,19.5,3.5,0.0,11.5,0.0,50.6178929496
1980,4,25,25.5,6.0,0.0,15.75,0.0,40.6980158634
1980,4,26,30.0,10.5,0.0,20.25,0.0,40.8979987545
1980,4,27,33.0,15.0,0.0,24.0,0.0,44.7204310561
1980,4,28,33.0,10.0,0.0,21.5,0.0,34.7108853516
1980,4,29,28.0,13.5,0.0,20.75,0.0,54.5244726591
1980,4,30,22.0,9.5,2.0,15.75,0.2,61.047023795
1980,5,1,25.0,11.0,0.0,18.0,0.0,54.9008444293
1980,5,2,29.0,10.5,0.0,19.75,0.0,42.1853014814
1980,5,3,30.5,10.0,0.0,20.25,0.0,37.4898321916
1980,5,4,32.5,13.5,0.0,23.0,0.0,41.7519284507
1980,5,5,33.0,13.5,0.0,23.25,0.0,39.7052843783
1980,5,6,33.0,13.0,0.0,23.0,0.0,38.8724851093
1980,5,7,31.5,16.0,0.0,23.75,0.0,50.9036332641
1980,5,8,31.5,14.0,0.0,22.75,0.0,43.8529886765
1980,5,9,31.5,11.5,0.0,21.5,0.0,34.7108853516
1980,5,10,30.0,12.0,0.0,21.0,0.0,35.7940370138
1980,5,11,27.0,12.5,0.0,19.75,0.0,45.7007432716
1980,5,12,26.5,7.5,0.0,17.0,0.0,33.413697625
1980,5,13,30.0,8.0,0.0,19.0,0.0,27.6258880945
1980,5,14,29.0,12.0,0.0,20.5,0.0,33.5589572491
1980,5,15,26.5,11.0,0.0,18.75,0.0,24.3192324759
1980,5,16,29.0,11.5,0.0,20.25,0.0,20.4489993773
1980,5,17,31.5,12.5,0.0,22.0,0.0,19.8923736454
1980,5,18,34.0,12.5,0.0,23.25,0.0,18.4345963185
1980,5,19,36.0,14.5,0.0,25.25,0.0,18.8570197711
1980,5,20,37.5,15.5,0.0,26.5,0.0,18.6708350418
1980,5,21,37.0,15.5,0.0,26.25,0.0,18.9500228
1980,5,22,34.5,14.5,0.0,24.5,0.0,19.7245143245
1980,5,23,32.0,11.5,0.0,21.75,0.0,18.6452726677
1980,5,24,29.0,13.0,0.0,21.0,0.0,22.7780235542
1980,5,25,27.5,4.5,0.0,16.0,0.0,17.8019513815
1980,5,26,31.0,8.0,0.0,19.5,0.0,17.8524045865
1980,5,27,31.5,10.0,0.0,20.75,0.0,18.1748242197
1980,5,28,32.0,9.5,0.0,20.75,0.0,18.1748242197
1980,5,29,32.5,9.5,0.0,21.0,0.0,17.8970185069
1980,5,30,34.0,10.5,0.0,22.25,0.0,18.0838758484
1980,5,31,34.0,9.5,0.0,21.75,0.0,17.0914999454
1980,6,1,32.0,13.5,0.0,22.75,0.0,20.464728049
1980,6,2,34.5,10.5,0.0,22.5,0.0,17.8102393132
1980,6,3,36.0,11.0,0.0,23.5,0.0,16.7607857063
1980,6,4,37.0,12.0,0.0,24.5,0.0,17.0945790813
1980,6,5,37.5,14.5,0.0,26.0,0.0,18.0317462584
1980,6,6,37.5,14.5,0.0,26.0,0.0,18.0317462584
1980,6,7,38.5,13.0,0.0,25.75,0.0,17.0821347913
1980,6,8,40.5,16.0,0.0,28.25,0.0,17.8924693251
1980,6,9,42.0,17.0,0.0,29.5,0.0,17.6114607648
1980,6,10,41.5,17.0,0.0,29.25,0.0,17.8695699823
1980,6,11,40.0,14.5,0.0,27.25,0.0,16.744085769
1980,6,12,40.0,16.0,0.0,28.0,0.0,18.1568945616
1980,6,13,41.0,16.5,0.0,28.75,0.0,18.3985228381
1980,6,14,39.5,17.0,0.0,28.25,0.0,18.9449675207
1980,6,15,40.5,16.0,0.0,28.25,0.0,17.8924693251
1980,6,16,42.5,16.5,0.0,29.5,0.0,17.6114607648
1980,6,17,43.0,19.5,0.0,31.25,0.0,19.4538362248
1980,6,18,42.0,20.0,0.0,31.0,0.0,19.7356515237
1980,6,19,41.5,22.0,0.0,31.75,0.0,21.4813168996
1980,6,20,41.5,21.5,0.0,31.5,0.0,21.7914749824
1980,6,21,41.0,22.0,0.0,31.5,0.0,21.7914749824
1980,6,22,41.0,20.0,0.0,30.5,0.0,20.3130325539
1980,6,23,42.0,21.0,0.0,31.5,0.0,20.9198159831
1980,6,24,41.5,20.0,0.0,30.75,0.0,20.0220233124
1980,6,25,41.5,21.0,0.0,31.25,0.0,21.2223667907
1980,6,26,43.0,21.5,0.0,32.25,0.0,20.8756518468
1980,6,27,42.0,23.5,0.0,32.75,0.0,22.7236366075
1980,6,28,43.0,24.0,0.0,33.5,0.0,22.5539798892
1980,6,29,43.5,24.0,0.0,33.75,0.0,22.2371136234
1980,6,30,40.5,22.0,4.0,31.25,0.4,22.1066320737
1980,7,1,36.5,20.5,0.0,28.5,0.0,23.8554971486
1980,7,2,38.5,22.5,0.0,30.5,0.0,24.0063112001
1980,7,3,41.0,21.5,0.0,31.25,0.0,22.1066320737
1980,7,4,42.0,22.0,0.0,32.0,0.0,21.1760709381
1980,7,5,40.5,24.5,0.0,32.5,0.0,24.6959711742
1980,7,6,38.5,24.5,0.0,31.5,0.0,26.1497699788
1980,7,7,39.5,23.0,3.0,31.25,0.3,23.8751626396
1980,7,8,41.0,24.5,0.0,32.75,0.0,24.346753508
1980,7,9,39.5,25.0,0.0,32.25,0.0,25.8858082901
1980,7,10,40.0,26.0,0.0,33.0,0.0,26.4033358306
1980,7,11,40.5,23.5,0.0,32.0,0.0,23.7171994507
1980,7,12,37.0,20.5,9.0,28.75,0.9,23.5092236265
1980,7,13,34.5,20.5,12.0,27.5,1.2,25.2985057378
1980,7,14,38.0,22.0,0.0,30.0,0.0,23.7605626095
1980,7,15,40.5,22.0,0.0,31.25,0.0,22.1066320737
1980,7,16,41.5,25.0,0.0,33.25,0.0,24.45353732
1980,7,17,41.5,23.5,0.0,32.5,0.0,23.0495730959
1980,7,18,41.0,25.5,0.0,33.25,0.0,25.2423611045
1980,7,19,39.5,23.5,7.0,31.5,0.7,24.4064519803
1980,7,20,38.0,22.0,0.0,30.0,0.0,23.7605626095
1980,7,21,40.0,24.5,0.0,32.25,0.0,25.0507822162
1980,7,22,39.5,23.5,0.0,31.5,0.0,24.4064519803
1980,7,23,40.0,25.0,2.0,32.5,0.2,25.5191702133
1980,7,24,40.0,24.0,0.0,32.0,0.0,24.5642422882
1980,7,25,41.5,22.0,6.0,31.75,0.6,21.4813168996
