,year,yday,prcp (mm/day),tmax (deg c),tmin (deg c),vp (Pa)
0,1980,1,0.0,19.5,0.0,200.0
1,1980,2,0.0,18.5,-1.5,200.0
2,1980,3,0.0,17.0,-3.0,160.0
3,1980,4,0.0,19.0,-1.5,200.0
4,1980,5,0.0,20.5,-3.0,160.0
5,1980,6,0.0,19.0,0.5,240.0
6,1980,7,0.0,17.0,0.5,240.0
7,1980,8,0.0,17.5,3.5,280.0
8,1980,9,0.0,16.0,3.0,320.0
9,1980,10,7.0,14.0,6.0,720.0
10,1980,11,5.0,12.5,7.5,1040.0
11,1980,12,1.0,18.0,5.0,520.0
12,1980,13,0.0,20.5,5.0,400.0
13,1980,14,0.0,22.0,5.0,360.0
14,1980,15,5.0,18.5,4.5,520.0
15,1980,16,0.0,17.5,1.5,280.0
16,1980,17,0.0,18.0,0.5,240.0
17,1980,18,3.0,17.0,6.0,680.0
18,1980,19,0.0,15.0,4.0,520.0
19,1980,20,2.0,14.0,-1.0,320.0
20,1980,21,7.0,11.5,3.5,720.0
21,1980,22,2.0,10.0,0.5,520.0
22,1980,23,0.0,13.0,-1.0,400.0
23,1980,24,0.0,16.0,-2.5,320.0
24,1980,25,0.0,18.0,-3.0,280.0
25,1980,26,0.0,18.0,-1.5,320.0
26,1980,27,0.0,18.0,1.0,400.0
27,1980,28,0.0,16.0,2.5,480.0
28,1980,29,4.0,15.5,3.5,680.0
29,1980,30,3.0,17.0,8.0,1040.0
30,1980,31,3.0,17.5,9.0,1120.0
31,1980,32,0.0,19.0,7.0,760.0
32,1980,33,0.0,22.0,2.0,440.0
33,1980,34,0.0,25.0,2.0,400.0
34,1980,35,0.0,25.0,2.5,400.0
35,1980,36,0.0,24.5,3.0,440.0
36,1980,37,0.0,24.5,5.0,480.0
37,1980,38,0.0,20.5,3.0,480.0
38,1980,39,16.0,13.0,1.0,600.0
39,1980,40,4.0,9.0,-0.5,600.0
40,1980,41,0.0,12.5,-1.5,480.0
41,1980,42,0.0,15.5,-2.0,440.0
42,1980,43,0.0,17.5,-1.5,440.0
43,1980,44,8.0,15.5,4.5,840.0
44,1980,45,36.0,14.5,8.0,1080.0
45,1980,46,13.0,16.0,9.0,1160.0
46,1980,47,2.0,16.0,3.5,800.0
47,1980,48,9.0,16.5,7.0,1000.0
48,1980,49,2.0,18.5,6.5,960.0
49,1980,50,0.0,18.5,9.5,1200.0
50,1980,51,6.0,16.5,7.0,1000.0
51,1980,52,0.0,16.0,4.5,840.0
52,1980,53,0.0,17.5,3.5,800.0
53,1980,54,0.0,19.5,2.0,720.0
54,1980,55,0.0,20.5,1.0,640.0
55,1980,56,0.0,22.5,2.0,680.0
56,1980,57,0.0,25.0,4.0,760.0
57,1980,58,0.0,26.0,4.0,760.0
58,1980,59,0.0,26.0,4.5,800.0
59,1980,60,0.0,23.5,5.5,880.0
60,1980,61,0.0,21.5,3.0,760.0
61,1980,62,0.0,20.5,6.0,920.0
62,1980,63,0.0,19.5,7.0,1000.0
63,1980,64,5.0,18.0,5.0,880.0
64,1980,65,0.0,21.5,1.5,640.0
65,1980,66,0.0,21.5,3.5,760.0
66,1980,67,3.0,19.0,7.0,1000.0
67,1980,68,0.0,20.5,1.0,640.0
68,1980,69,0.0,20.0,2.0,680.0
69,1980,70,0.0,17.5,6.5,960.0
70,1980,71,11.0,16.0,7.0,1000.0
71,1980,72,0.0,18.0,5.5,920.0
72,1980,73,0.0,22.5,1.5,640.0
73,1980,74,0.0,25.0,4.5,800.0
74,1980,75,0.0,23.5,5.0,840.0
75,1980,76,0.0,20.5,4.0,800.0
76,1980,77,0.0,19.5,1.0,640.0
77,1980,78,0.0,23.0,2.5,680.0
78,1980,79,3.0,19.5,4.0,800.0
79,1980,80,0.0,19.0,-1.5,520.0
80,1980,81,0.0,23.0,2.0,640.0
81,1980,82,0.0,21.0,5.0,880.0
82,1980,83,0.0,17.0,2.0,720.0
83,1980,84,0.0,19.0,1.0,640.0
84,1980,85,0.0,19.0,3.5,800.0
85,1980,86,1.0,17.0,3.0,760.0
86,1980,87,12.0,15.0,3.0,760.0
